season,position,model,n,mae,rmse,spearman,rank_mae,top_n_overlap
2024,TE,boost,50,1.9455820879874768,2.451300174187914,0.6521791348414453,9.16,0.8333333333333334
2024,TE,prototype,50,,,0.6581664535953193,9.52,0.75
2024,TE,ridge,50,1.8987975535215926,2.453287711652169,0.6769917910494867,9.04,0.8333333333333334
2024,WR,baseline,85,2.8675090866457653,3.566600190231703,0.7841222875840177,12.776470588235295,0.7777777777777778
2024,WR,boost,85,2.750921706171551,3.3382444427502564,0.7779050142568921,12.75294117647059,0.75
2024,WR,prototype,85,,,0.7695460358616317,13.341176470588236,0.7777777777777778
2024,WR,ridge,85,2.6845180158156903,3.247168198805105,0.8021824218415337,12.51764705882353,0.7777777777777778
2025,QB,baseline,36,6.172909419284419,7.947401680044324,0.23217503217503221,10.277777777777779,0.5
2025,QB,boost,36,5.212552522407958,5.855682034957305,0.37400257400257403,9.277777777777779,0.5833333333333334
2025,QB,prototype,36,,,0.451994851994852,8.61111111111111,0.5
2025,QB,ridge,36,4.864831386340557,5.719365015922367,0.3933075933075934,9.277777777777779,0.5
2025,RB,baseline,52,2.1860444407276987,3.0029612316121432,0.7885009856777013,7.153846153846154,0.7083333333333334
2025,RB,boost,52,2.624290317474551,3.2621791310558317,0.7955556708606079,7.3076923076923075,0.75
2025,RB,prototype,52,,,0.7587995799107785,7.730769230769231,0.7916666666666666
2025,RB,ridge,52,2.3562796831552095,3.123615419239815,0.7905978725464448,7.384615384615385,0.75
2025,TE,baseline,57,1.8358101251174006,2.612659288961673,0.6905793222952521,9.719298245614034,0.75
2025,TE,boost,57,1.7275401070872978,2.3315139215876752,0.706130437803693,9.157894736842104,0.75
2025,TE,prototype,57,,,0.6762327401707483,10.210526315789474,0.8333333333333334
2025,TE,ridge,57,1.7530631560039107,2.4116229958574396,0.7212738486438072,9.403508771929825,0.8333333333333334
2025,WR,baseline,86,2.610547741986695,3.456969418345665,0.7187475157169336,14.69767441860465,0.7777777777777778
2025,WR,boost,86,2.298492142364154,2.7909531441642237,0.7785610770391271,12.744186046511627,0.7222222222222222
2025,WR,prototype,86,,,0.7817224685472071,12.744186046511627,0.75
2025,WR,ridge,86,2.2480886330865792,2.788548758844561,0.7787875647889597,12.813953488372093,0.75
