split,scope,scope_value,method,n,mae,rmse,bias,spearman,rank_mae,top_n_overlap,catastrophic_over_rate,catastrophic_under_rate
development,fallback,False,PRIOR_TOTAL_SCHEDULE_ADJUSTED,1735,48.2542442363,77.1736080763,28.7593134006,0.369034825618,29.8224783862,0.525173611111,0.129106628242,0.0230547550432
development,fallback,False,POSITION_MEAN_TOTAL,1735,48.5513923241,65.0362849225,4.26492501936,0.0320202865261,36.1452449568,0.200520833333,0,0.0985590778098
confirmation,pooled,ALL,INDEPENDENT_PRODUCT,1773,32.5129614332,53.1759996309,-1.97863230801,0.438308859637,29.5194585448,0.532986111111,0.0214326001128,0.058657642414
confirmation,pooled,ALL,PAIRED_RESIDUAL_MEAN,1773,34.8149996369,52.4865771379,2.64453656476,0.427942056066,29.6232374506,0.539930555556,0.0236886632826,0.0547095318669
confirmation,pooled,ALL,WR033_X_PREV_RATE,1773,41.4077955307,64.4099102072,23.0286055323,0.430395735611,29.1776649746,0.525173611111,0.0924985899605,0.0214326001128
confirmation,pooled,ALL,PRIOR_TOTAL_SCHEDULE_ADJUSTED,1773,42.7090806543,70.6934747733,25.9347997744,0.423192251506,29.0016920474,0.533854166667,0.104906937394,0.0174844895657
confirmation,pooled,ALL,POSITION_MEAN_TOTAL,1773,46.0996386623,63.0775514674,4.25077771809,0.0112255251255,38.027072758,0.169270833333,0,0.0846023688663
confirmation,position,QB,INDEPENDENT_PRODUCT,258,45.8189819633,69.9384184343,-2.52046532932,0.365910471403,16.2248062016,0.458333333333,0.0387596899225,0.0968992248062
confirmation,position,QB,PAIRED_RESIDUAL_MEAN,258,48.7999749312,69.7067980953,4.87451984787,0.3640012404,16.2170542636,0.458333333333,0.046511627907,0.0891472868217
confirmation,position,QB,WR033_X_PREV_RATE,258,58.6374883344,87.7417637922,25.845279479,0.339840966005,16.7286821705,0.458333333333,0.15503875969,0.046511627907
confirmation,position,QB,PRIOR_TOTAL_SCHEDULE_ADJUSTED,258,62.135503876,95.8796234304,30.8302325581,0.319902287148,16.9379844961,0.458333333333,0.158914728682,0.046511627907
confirmation,position,QB,POSITION_MEAN_TOTAL,258,59.7575605824,75.4234944394,8.32330846917,0.0701545749906,19.3178294574,0.208333333333,0,0.108527131783
confirmation,position,RB,INDEPENDENT_PRODUCT,452,31.8972789015,52.2880111276,-1.24949919141,0.454165737885,26.5309734513,0.604166666667,0.0199115044248,0.0575221238938
confirmation,position,RB,PAIRED_RESIDUAL_MEAN,452,34.1231280205,52.8203341145,1.78604331953,0.449035207247,26.6725663717,0.604166666667,0.0176991150442,0.0553097345133
confirmation,position,RB,WR033_X_PREV_RATE,452,42.6255264812,64.1443089627,25.3783447627,0.460494281529,25.8318584071,0.572916666667,0.0995575221239,0.0265486725664
confirmation,position,RB,PRIOR_TOTAL_SCHEDULE_ADJUSTED,452,42.8142920354,70.8357231823,28.2762389381,0.449042491488,25.5973451327,0.59375,0.112831858407,0.0176991150442
confirmation,position,RB,POSITION_MEAN_TOTAL,452,47.4410850516,66.5033562745,4.84717320947,-0.00911563871476,35.0221238938,0.197916666667,0,0.0862831858407
