split,event,model,scope,scope_value,n,prevalence,brier,brier_baseline,brier_skill,roc_auc,pr_auc,log_loss
all,low_availability,PREVALENCE,position,WR,1351,0.7054034048852702,0.20812547526785774,0.20812547526785774,0.0,0.5149330071132157,0.7105068408771795,0.6069584177707684
all,low_availability,PREVALENCE,position,TE,762,0.7073490813648294,0.20843932591639586,0.20843932591639586,0.0,0.46173781375575096,0.6899512498348789,0.6078164014005685
all,low_availability,LOGIT_MINIMAL,pooled,ALL,3508,0.7243443557582668,0.17302523794218114,0.19908818428956032,0.13091156785815272,0.7373527102774071,0.877009615966972,0.5182860195389132
all,low_availability,LOGIT_MINIMAL,position,QB,495,0.8121212121212121,0.1269074268608318,0.153371742001688,0.1725501373034214,0.7951639651206335,0.939480203955031,0.39966444294007275
all,low_availability,LOGIT_MINIMAL,position,RB,900,0.7188888888888889,0.179995837161089,0.20274894973530294,0.11222308477513232,0.7143734230959551,0.859673008102877,0.5375639944919646
all,low_availability,LOGIT_MINIMAL,position,WR,1351,0.7054034048852702,0.18179898652230217,0.20812547526785774,0.12649335076195434,0.7249732397559677,0.8592425563453181,0.540277940628851
all,low_availability,LOGIT_MINIMAL,position,TE,762,0.7073490813648294,0.1791951104572826,0.20843932591639586,0.14030085412405813,0.7380092681181727,0.8713465051363398,0.533583155452527
all,low_availability,LOGIT_FULL,pooled,ALL,3508,0.7243443557582668,0.17433786330651035,0.19908818428956032,0.12431838218511404,0.7362373923904432,0.8685007684948955,0.5303912610260544
all,low_availability,LOGIT_FULL,position,QB,495,0.8121212121212121,0.13265009958041463,0.153371742001688,0.13510730301964824,0.788262986144546,0.9378275783499065,0.410306624167343
all,low_availability,LOGIT_FULL,position,RB,900,0.7188888888888889,0.17801323830872598,0.20274894973530294,0.12200167477498869,0.7245297542320592,0.8558385004950398,0.5378324162330491
all,low_availability,LOGIT_FULL,position,WR,1351,0.7054034048852702,0.1815591122869559,0.20812547526785774,0.12764589700857576,0.7259896017337473,0.8425937692883405,0.5506161853100326
all,low_availability,LOGIT_FULL,position,TE,762,0.7073490813648294,0.1842744750779557,0.20843932591639586,0.11593230179669933,0.7244024393287687,0.8563319995135232,0.5637521309094037
all,high_availability,PREVALENCE,pooled,ALL,3508,0.13996579247434435,0.12040090529124234,0.12040090529124234,0.0,0.5331677858057565,0.14946874787993564,0.40482420920228557
all,high_availability,PREVALENCE,position,QB,495,0.08686868686868687,0.0811667491818463,0.0811667491818463,0.0,0.5358098374151059,0.0937082753211981,0.3040728672766682
all,high_availability,PREVALENCE,position,RB,900,0.15,0.1277335394385624,0.1277335394385624,0.0,0.47786976519002655,0.1444888698812702,0.42358978976869566
all,high_availability,PREVALENCE,position,WR,1351,0.15692079940784603,0.13280715402728302,0.13280715402728302,0.0,0.4767629665214439,0.1509682607097048,0.4363169556111348
all,high_availability,PREVALENCE,position,TE,762,0.1325459317585302,0.11523121303293801,0.11523121303293801,0.0,0.46473989305133234,0.12059125463246638,0.3922732792089208
all,high_availability,LOGIT_MINIMAL,pooled,ALL,3508,0.13996579247434435,0.10839346711301762,0.12040090529124234,0.09972880311140075,0.7626322529427609,0.29715284168876555,0.35376492198658105
