split,scope,scope_value,model,n,mae,rmse,bias,spearman
all,season,2018,RIDGE_FULL,419,4.525110923870073,5.330747400872368,0.3649130438483396,0.31548887366132505
all,season,2019,RIDGE_FULL,444,4.726047770135774,5.587352778777508,0.26342777794605976,0.3229189110535238
all,season,2020,RIDGE_FULL,437,4.769314668335211,5.582919334015206,-0.08518067331368692,0.28494875760007177
all,season,2021,RIDGE_FULL,435,4.505893012590363,5.401500874319607,0.03916696598272147,0.26410544475808445
all,season,2022,RIDGE_FULL,475,4.227864989002319,5.127342055591685,0.1925796936916214,0.36029537476301027
all,season,2023,RIDGE_FULL,446,4.522580889248134,5.399797212215193,0.07269559608672015,0.37668340076482326
all,season,2024,RIDGE_FULL,421,4.72201775792267,5.620710220997518,-0.6015066421480806,0.4465756163734808
all,season,2025,RIDGE_FULL,431,4.475310487824764,5.331633580284436,0.1867417633702154,0.3266572917273956
all,pooled,ALL,MULTINOMIAL_HURDLE,3508,4.647330043116329,5.44305111855063,0.11145911503801528,0.3279270663311491
all,position,QB,MULTINOMIAL_HURDLE,495,3.7048838149100143,4.704622963769644,0.2512238450187925,0.2787598946287163
all,position,RB,MULTINOMIAL_HURDLE,900,4.884080470123487,5.591711970420936,0.23887940100920108,0.33394953712327097
all,position,WR,MULTINOMIAL_HURDLE,1351,4.847349848685296,5.634502097235062,-0.016189399905011417,0.34520024323438486
all,position,TE,MULTINOMIAL_HURDLE,762,4.625294270586159,5.366271836726817,0.09648712681423188,0.3606231187575003
all,season,2018,MULTINOMIAL_HURDLE,419,4.545632292277297,5.238064137368315,0.467599630990914,0.3404363933471019
all,season,2019,MULTINOMIAL_HURDLE,444,4.8116883891730815,5.566725209198285,0.30076831640763146,0.3283081909988673
all,season,2020,MULTINOMIAL_HURDLE,437,4.810727781932487,5.571218813818309,-0.160495590802049,0.27217675337821856
all,season,2021,MULTINOMIAL_HURDLE,435,4.525072382543123,5.371782109801042,-0.04672830007509351,0.2817397122077554
all,season,2022,MULTINOMIAL_HURDLE,475,4.346668646240623,5.223001343885128,0.26658608855187066,0.34089911519610433
all,season,2023,MULTINOMIAL_HURDLE,446,4.725064879839795,5.529518434974392,0.18331386136009425,0.33050736451898727
all,season,2024,MULTINOMIAL_HURDLE,421,4.835204341740936,5.642769003632477,-0.4183554995745937,0.43151405154881717
all,season,2025,MULTINOMIAL_HURDLE,431,4.602000272943187,5.3982817071789615,0.2778140893004654,0.30645518533452554
