position,model,feature,seasons,median_standardized_coefficient,median_abs_coefficient,positive_fraction,negative_fraction,direction_consistency,stable
RB,downside,prev1_receptions_pg,8,0.46513560385044905,0.46513560385044905,1.0,0.0,1.0,True
RB,downside,prev1_rec_ypt,8,0.34607547419131496,0.34607547419131496,1.0,0.0,1.0,True
RB,downside,age_sep1,8,0.27323678943734586,0.27323678943734586,1.0,0.0,1.0,True
RB,downside,drafted,8,0.26984136808914105,0.26984136808914105,1.0,0.0,1.0,True
RB,downside,prev1_pass_yards_pg,8,0.2353676482216418,0.2353676482216418,1.0,0.0,1.0,True
RB,downside,experience_years,8,-0.22251129707531903,0.22251129707531903,0.0,1.0,1.0,True
RB,downside,prev1_rush_ypc,8,0.20296356376666683,0.20296356376666683,1.0,0.0,1.0,True
RB,downside,ppr_delta,8,0.19961251681969122,0.19961251681969122,1.0,0.0,1.0,True
RB,downside,has_prev2,8,0.18682964181430917,0.18682964181430917,1.0,0.0,1.0,True
RB,downside,prev1_games,8,-0.1589362013225536,0.1589362013225536,0.0,1.0,1.0,True
RB,downside,prev1_ppr_pg,8,0.15263231786217069,0.15263231786217069,1.0,0.0,1.0,True
RB,downside,prev1_air_yards_share,8,0.1404615185719621,0.1404615185719621,1.0,0.0,1.0,True
RB,downside,draft_round,8,0.13953897391090125,0.13953897391090125,1.0,0.0,1.0,True
RB,downside,prev1_targets_pg,8,0.138388089158827,0.138388089158827,1.0,0.0,1.0,True
RB,downside,games_delta,8,-0.13374149663988483,0.13374149663988483,0.0,1.0,1.0,True
RB,downside,weighted_ppr_pg,8,0.12249835352042977,0.12249835352042977,1.0,0.0,1.0,True
RB,downside,prev1_rec_tds_pg,8,0.11837675588996793,0.11837675588996793,1.0,0.0,1.0,True
RB,downside,prev1_pass_epa_pg,8,-0.10664324354224272,0.10664324354224272,0.0,1.0,1.0,True
RB,downside,prev1_pass_tds_pg,8,0.09448188733245719,0.09448188733245719,1.0,0.0,1.0,True
RB,downside,prev1_target_share,8,-0.063147466781884,0.063147466781884,0.0,1.0,1.0,True
RB,downside,prev1_rec_yards_pg,8,-0.32169242781950963,0.32169242781950963,0.125,0.875,0.875,True
RB,downside,prev1_rush_tds_pg,8,0.206554540837659,0.206554540837659,0.875,0.125,0.875,True
RB,downside,prev1_rush_yards_pg,8,-0.09810222520308381,0.09834500944757166,0.125,0.875,0.875,True
RB,downside,prev2_games,8,-0.05165961495363476,0.05165961495363476,0.125,0.875,0.875,True
RB,downside,log_draft_pick,8,0.11232119122674229,0.12553485213996024,0.75,0.25,0.75,True
RB,downside,prev1_wopr,8,-0.04114927081220658,0.04114927081220658,0.0,1.0,1.0,False
RB,downside,prev1_rec_epa_pg,8,-0.023264413318574394,0.03930267938277155,0.25,0.75,0.75,False
RB,downside,prev1_pass_ypa,8,-0.13370134895827585,0.16398466711347354,0.375,0.625,0.625,False
RB,downside,prev1_attempts_pg,8,0.010148466728388445,0.027815178066519737,0.625,0.375,0.625,False
RB,downside,prev2_ppr_pg,8,0.017025595745570242,0.021245666117938287,0.625,0.375,0.625,False
RB,downside,prev1_rush_epa_pg,8,0.005254049903139254,0.04124868464505787,0.5,0.5,0.5,False
RB,downside,prev1_int_pg,8,0.0,0.04644053484644732,0.375,0.375,0.375,False
RB,downside,age_missing,8,0.0,0.0,0.0,0.0,0.0,False
RB,low_availability,prev1_games,8,-0.3555238210661227,0.3555238210661227,0.0,1.0,1.0,True
RB,low_availability,prev1_rec_ypt,8,0.3222984628082393,0.3222984628082393,1.0,0.0,1.0,True
RB,low_availability,draft_round,8,0.2848658409912903,0.2848658409912903,1.0,0.0,1.0,True
RB,low_availability,prev2_games,8,-0.27676280734162034,0.27676280734162034,0.0,1.0,1.0,True
RB,low_availability,prev1_rec_tds_pg,8,0.1864285213568177,0.1864285213568177,1.0,0.0,1.0,True
RB,low_availability,prev1_rush_yards_pg,8,-0.1721765998132414,0.1721765998132414,0.0,1.0,1.0,True
RB,low_availability,ppr_delta,8,-0.15691923615569664,0.15691923615569664,0.0,1.0,1.0,True
RB,low_availability,prev1_rush_ypc,8,-0.14382863599129184,0.14382863599129184,0.0,1.0,1.0,True
RB,low_availability,prev1_ppr_pg,8,-0.14222149401944623,0.14222149401944623,0.0,1.0,1.0,True
RB,low_availability,drafted,8,0.12943725246429671,0.12943725246429671,1.0,0.0,1.0,True
RB,low_availability,age_sep1,8,-0.12796216674666125,0.12796216674666125,0.0,1.0,1.0,True
RB,low_availability,prev1_rush_tds_pg,8,0.12669526535379458,0.12669526535379458,1.0,0.0,1.0,True
RB,low_availability,weighted_ppr_pg,8,-0.11620069719365969,0.11620069719365969,0.0,1.0,1.0,True
RB,low_availability,prev1_target_share,8,0.10924133312226916,0.10924133312226916,1.0,0.0,1.0,True
RB,low_availability,prev1_wopr,8,0.10915847567331227,0.10915847567331227,1.0,0.0,1.0,True
RB,low_availability,games_delta,8,-0.08950276912843924,0.08950276912843924,0.0,1.0,1.0,True
RB,low_availability,experience_years,8,0.2432541432632389,0.2432541432632389,0.875,0.125,0.875,True
RB,low_availability,prev1_rec_yards_pg,8,-0.155251736150249,0.155251736150249,0.125,0.875,0.875,True
RB,low_availability,prev1_targets_pg,8,-0.07056433705639045,0.08217427813289158,0.125,0.875,0.875,True
RB,low_availability,prev1_pass_ypa,8,-0.07141081904393388,0.08960736049906846,0.25,0.75,0.75,True
RB,low_availability,prev1_attempts_pg,8,-0.047291400831294614,0.047291400831294614,0.0,1.0,1.0,False
RB,low_availability,prev2_ppr_pg,8,-0.03526909220462679,0.03526909220462679,0.0,1.0,1.0,False
RB,low_availability,prev1_rush_epa_pg,8,-0.03493826561299509,0.03493826561299509,0.125,0.875,0.875,False
RB,low_availability,prev1_air_yards_share,8,0.03199798574410459,0.03199798574410459,0.875,0.125,0.875,False
RB,low_availability,has_prev2,8,0.029278353849809646,0.029278353849809646,0.875,0.125,0.875,False
RB,low_availability,prev1_carries_pg,8,0.008234046181241614,0.02213134195380194,0.875,0.125,0.875,False
RB,low_availability,prev1_pass_tds_pg,8,0.025361842961653308,0.038846827878053436,0.75,0.25,0.75,False
RB,low_availability,log_draft_pick,8,-0.02727205101759504,0.02727205101759504,0.25,0.75,0.75,False
RB,low_availability,prev1_receptions_pg,8,-0.11937466735303576,0.13547750055997235,0.375,0.625,0.625,False
RB,low_availability,prev1_pass_epa_pg,8,0.06741514041559177,0.07283370784424292,0.625,0.375,0.625,False
RB,low_availability,prev1_int_pg,8,-0.03941427091902136,0.05718906004620536,0.25,0.625,0.625,False
RB,low_availability,prev1_pass_yards_pg,8,0.018042657990369776,0.03266846881184047,0.625,0.375,0.625,False
RB,low_availability,prev1_rec_epa_pg,8,0.009504687957113334,0.027027864995106433,0.5,0.5,0.5,False
RB,low_availability,age_missing,8,0.0,0.0,0.0,0.0,0.0,False
RB,performance,prev1_rush_yards_pg,8,0.6072001595099041,0.6072001595099041,1.0,0.0,1.0,True
RB,performance,prev1_target_share,8,0.43182691812053214,0.43182691812053214,1.0,0.0,1.0,True
RB,performance,prev1_wopr,8,0.3734269034184148,0.3734269034184148,1.0,0.0,1.0,True
RB,performance,log_draft_pick,8,-0.35677614229099563,0.35677614229099563,0.0,1.0,1.0,True
RB,performance,prev1_ppr_pg,8,0.3489390667548732,0.3489390667548732,1.0,0.0,1.0,True
RB,performance,weighted_ppr_pg,8,0.3445327321771373,0.3445327321771373,1.0,0.0,1.0,True
RB,performance,draft_round,8,-0.3317594382884774,0.3317594382884774,0.0,1.0,1.0,True
RB,performance,prev1_games,8,0.3217376048751184,0.3217376048751184,1.0,0.0,1.0,True
RB,performance,prev2_ppr_pg,8,0.2843647305561115,0.2843647305561115,1.0,0.0,1.0,True
RB,performance,prev1_carries_pg,8,0.27815411264917667,0.27815411264917667,1.0,0.0,1.0,True
RB,performance,has_prev2,8,-0.27584768955423505,0.27584768955423505,0.0,1.0,1.0,True
RB,performance,age_sep1,8,-0.2706393405428865,0.2706393405428865,0.0,1.0,1.0,True
RB,performance,prev1_air_yards_share,8,-0.2617489666155641,0.2617489666155641,0.0,1.0,1.0,True
RB,performance,prev2_games,8,0.22946016388308868,0.22946016388308868,1.0,0.0,1.0,True
RB,performance,prev1_rush_ypc,8,0.2087136404713288,0.2087136404713288,1.0,0.0,1.0,True
RB,performance,prev1_rec_epa_pg,8,0.19597005402385315,0.19597005402385315,1.0,0.0,1.0,True
