season,position,label,n,prevalence,roc_auc,average_precision,brier,climatology_brier,brier_skill,log_loss,ece_fixed_bins,warning_informative
2021,TE,downside,51,0.11764705882352941,0.7851851851851852,0.3045290765879002,0.10475334810417228,0.10380622837370242,-0.009123920070192915,0.32821718369617614,0.04967278343048005,False
2022,TE,downside,56,0.125,0.9096209912536443,0.6747095010252905,0.0733674128975634,0.109375,0.3292122249365631,0.2465837749610598,0.020957133753915235,True
2023,TE,downside,52,0.09615384615384616,0.897872340425532,0.5108225108225108,0.06737604870923529,0.08690828402366864,0.22474537995841604,0.2341192977584115,0.06436901246461627,True
2024,TE,downside,50,0.06,0.9787234042553191,0.8333333333333333,0.03359660489581393,0.05639999999999999,0.4043155160316678,0.14129914132169835,0.06694966385616179,True
2025,TE,downside,57,0.12280701754385964,0.7685714285714286,0.45106034316560634,0.09110116212010219,0.1077254539858418,0.15432092649082274,0.40846083521797183,0.0542879066795204,True
2018,TE,low_availability,95,0.7473684210526316,0.6907276995305165,0.8594242682765966,0.17995501615068552,0.188808864265928,0.04689318030520151,0.5428646193027559,0.09192769501669212,False
2019,TE,low_availability,98,0.7857142857142857,0.6846011131725418,0.8780728669006895,0.16458311880875784,0.16836734693877553,0.022476021620711162,0.5086748181038806,0.08989140177422439,True
2020,TE,low_availability,95,0.6947368421052632,0.6959247648902822,0.8691052063990574,0.19746671917888942,0.21207756232686978,0.068893865940712,0.5757807383888316,0.10467751526534572,True
2021,TE,low_availability,94,0.7553191489361702,0.718922229026332,0.8941458157596163,0.16482074761686652,0.18481213218650971,0.10817138644051882,0.5056250796978483,0.06870182887289109,True
2022,TE,low_availability,102,0.6862745098039216,0.7933035714285714,0.895898782403951,0.17664313912614502,0.21530180699730872,0.17955570559445855,0.5262048516104098,0.06734811527917314,True
2023,TE,low_availability,92,0.6847826086956522,0.7427476737821566,0.8614393700826226,0.18257082559220736,0.21585538752362948,0.15419843031612313,0.5417152392181656,0.026073882984818456,True
2024,TE,low_availability,91,0.6263736263736264,0.8157894736842105,0.8781307658697333,0.19838600665165504,0.23402970655717908,0.1523041686881551,0.6198613123505969,0.1374047946027776,True
2025,TE,low_availability,95,0.6736842105263158,0.7096774193548389,0.8123310836158688,0.19581615895154028,0.21983379501385042,0.1092536116241678,0.5836224410999123,0.03918224477370903,True
